,id,title,author,genre,story,score,thumbnail_url,platform
343,343,합격시켜주세용,이온,"스토리, 판타지","천년째 용이 되려는 수험생 바리와
전설의 과외선생 찬영이의 낙동강 용 합격 수기",9.989999999999998,https://shared-comic.pstatic.net/thumb/webtoon/728128/thumbnail/thumbnail_IMAG06_a694ef92-520b-4767-89f5-3f0ae2cef5d8.jpg,네이버 웹툰
344,344,마법스크롤 상인 지오,엄재경 / 호패,"스토리, 판타지","마법사인 듯, 마법사 아닌
마법사 같은 너! 오지오!",9.928,https://shared-comic.pstatic.net/thumb/webtoon/655746/thumbnail/thumbnail_IMAG06_5f156411-590a-48a9-9045-33f6b3627b6f.jpg,네이버 웹툰
345,345,인어를 위한 수영교실,용찬,"스토리, 로맨스","헤엄에 서툰 인어를 위한 수영 교실! 
초아는 수영을 배워 그리워하던 바다로 다시 돌아갈 수 있을까?",9.977,https://shared-comic.pstatic.net/thumb/webtoon/728900/thumbnail/thumbnail_IMAG06_034af2d2-76ea-45d7-bada-4dce7b5abe2a.jpg,네이버 웹툰
346,346,구름이 피워낸 꽃,비온후,"스토리, 로맨스","이름뿐인 왕녀에서 진정한 왕녀로!
아름다운 연꽃 아래 가려진 궁중 로맨스",9.956,https://shared-comic.pstatic.net/thumb/webtoon/727476/thumbnail/thumbnail_IMAG06_983c76f8-49ae-4522-a6bf-6c6765be71a9.jpg,네이버 웹툰
347,347,가비지타임,2사장,"스토리, 스포츠","열혈따윈 개나 줘.
낙오자들 뿐인 농구부의 운명은?",9.97,https://shared-comic.pstatic.net/thumb/webtoon/703844/thumbnail/thumbnail_IMAG06_8afaf81c-1a86-4b58-a97c-5753c08814a0.jpg,네이버 웹툰
348,348,별이삼샵,혀노,"스토리, 드라마","ㄱ나니? 발신자 제한번호로 그녀에게 마음을 전했던 이야기. 
'남과여' 혀노 작가가 담아낸
 촌스럽지만 풋풋했던 2000년대 그 시절.",9.977000000000002,https://shared-comic.pstatic.net/thumb/webtoon/737628/thumbnail/thumbnail_IMAG06_64a2157c-49e6-422a-9628-9181f62e405c.jpg,네이버 웹툰
349,349,AI가 세상을 지배한다면,POGO / HOOPA,"옴니버스, 판타지","한국은 최첨단 AI 개발에 성공한다. 
그 후 100년, 세상은 AI를 지도자로 맞이한다. 
기술 발전의 특이점이 온 세상. 
삭막하고도, 기괴한 풍경을 그린 SF 옴니버스.",9.931,https://shared-comic.pstatic.net/thumb/webtoon/755674/thumbnail/thumbnail_IMAG06_8cd4f419-1a08-40e6-b747-9ff5e07c72eb.jpg,네이버 웹툰
350,350,다이스(DICE),윤현석,"스토리, 판타지","빵셔틀 남학생 동태가 우연히 얻게 된 주사위 '다이스'. 이 주사위만 굴리면 얼굴, 신체, 능력치 등 모든 걸 바꿀 수 있다고? '최후의 다이스'를 손에 얻기 위한 판타지 게임이 시작된다!",6.711999999999999,https://shared-comic.pstatic.net/thumb/webtoon/557676/thumbnail/thumbnail_IMAG06_a4f93667-2430-4410-b903-b12624812dd0.jpg,네이버 웹툰
351,351,벚꽃이 흩날릴 무렵,황양,"스토리, 드라마","살인미수 현장에서 체포된 범인. 
범인은 고등학생이었다. 
그 고등학생의 자백이 시작된다.",9.706,https://shared-comic.pstatic.net/thumb/webtoon/755982/thumbnail/thumbnail_IMAG06_d4ae47e9-5f85-4b41-8b8c-53f794ef7b10.jpg,네이버 웹툰
352,352,판사 이한영,문성호 / 전돌돌,"스토리, 드라마","법정 안에서 정의를 실현할 수 있다고 믿었던 판사 이한영은 상관의 명령을 따르지 않고 재벌에게  실형 선고를 내렸다가 살해당하고 만다. 
하지만 어렸을 적 들었던 땡중의 헛소리 때문일까? 이한영은 모든 기억을 가지고 두 번째 삶의 기회를 얻는다. 
오로지 정의밖에 모르는 사법부의 이단아 이한영, 세상이 그를 필요로 한다.",9.881,https://shared-comic.pstatic.net/thumb/webtoon/759567/thumbnail/thumbnail_IMAG06_58c4ae91-52e4-473a-9b38-32ed431e4281.jpg,네이버 웹툰
